Запуск,Время выполнения (с),Оценка π
1,0.00233,3.14548
2,0.001821,3.14548
3,0.007114,3.14548
4,0.002593,3.14548
5,0.002256,3.14548
6,0.001899,3.14548
7,0.002253,3.14548
8,0.001816,3.14548
9,0.002449,3.14548
10,0.001566,3.14548
11,0.002122,3.14548
12,0.002295,3.14548
13,0.001798,3.14548
14,0.00164,3.14548
15,0.002471,3.14548
16,0.002275,3.14548
17,0.002586,3.14548
18,0.002179,3.14548
19,0.002451,3.14548
20,0.002253,3.14548
21,0.001804,3.14548
22,0.001621,3.14548
23,0.002892,3.14548
24,0.001847,3.14548
25,0.002196,3.14548
26,0.005871,3.14548
27,0.003432,3.14548
28,0.002561,3.14548
29,0.001799,3.14548
30,0.001504,3.14548
31,0.002157,3.14548
32,0.001814,3.14548
33,0.002172,3.14548
34,0.002534,3.14548
35,0.002595,3.14548
36,0.001944,3.14548
37,0.002038,3.14548
38,0.002091,3.14548
39,0.003693,3.14548
40,0.001979,3.14548
41,0.001909,3.14548
42,0.002026,3.14548
43,0.002063,3.14548
44,0.001781,3.14548
45,0.001694,3.14548
46,0.002805,3.14548
47,0.002076,3.14548
48,0.001792,3.14548
49,0.002219,3.14548
50,0.00204,3.14548
51,0.005721,3.14548
52,0.001821,3.14548
53,0.005903,3.14548
54,0.002913,3.14548
55,0.002275,3.14548
56,0.002083,3.14548
57,0.001759,3.14548
58,0.001526,3.14548
59,0.002331,3.14548
60,0.002523,3.14548
61,0.001595,3.14548
62,0.00182,3.14548
63,0.00247,3.14548
64,0.00208,3.14548
65,0.002316,3.14548
66,0.002458,3.14548
67,0.001798,3.14548
68,0.002511,3.14548
69,0.002764,3.14548
70,0.002134,3.14548
71,0.001586,3.14548
72,0.00263,3.14548
73,0.001631,3.14548
74,0.003073,3.14548
75,0.001455,3.14548
76,0.002413,3.14548
77,0.001876,3.14548
78,0.002557,3.14548
79,0.002776,3.14548
80,0.002111,3.14548
81,0.002073,3.14548
82,0.001879,3.14548
83,0.002608,3.14548
84,0.002407,3.14548
85,0.002262,3.14548
86,0.00301,3.14548
87,0.002127,3.14548
88,0.001533,3.14548
89,0.001874,3.14548
90,0.002515,3.14548
91,0.005314,3.14548
92,0.001839,3.14548
93,0.001775,3.14548
